tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
1377.00;6_5_1;300.00;15.70;1312.00;0.00;8_7_0;5.10;0.00;tripinfo_1312;65.00;1312;0;994.90;1.22;0.00;6.23;DEFAULT_VEHTYPE;;0;0.00
1378.00;6_7_0;400.00;10.08;1338.00;0.00;6_7_0;5.10;0.00;tripinfo_1338;40.00;1338;0;394.90;0.80;0.00;4.11;DEFAULT_VEHTYPE;;0;0.00
1381.00;7_8_0;300.00;13.06;1299.00;0.00;5_6_0;5.10;0.00;tripinfo_1299;82.00;1299;0;994.90;0.96;0.00;6.89;DEFAULT_VEHTYPE;;0;0.00
1412.00;6_5_0;300.00;11.90;1328.00;0.00;8_7_0;5.10;0.00;tripinfo_1328;84.00;1328;0;994.90;0.94;0.00;6.85;DEFAULT_VEHTYPE;;0;0.00
1417.00;3_4_0;300.00;13.56;958.00;0.00;7_3_0;5.10;0.00;tripinfo_958;459.00;958;0;494.90;1.00;0.00;423.24;DEFAULT_VEHTYPE;;2;406.00
1418.00;6_7_0;400.00;14.23;1364.00;0.00;5_6_0;5.10;0.00;tripinfo_1364;54.00;1364;0;694.90;1.04;0.00;5.57;DEFAULT_VEHTYPE;;0;0.00
1422.00;7_8_0;300.00;10.24;1129.00;2.00;4_3_0;5.10;0.00;tripinfo_1127;293.00;1127;0;794.90;0.81;0.00;222.15;DEFAULT_VEHTYPE;;2;207.00
1431.00;3_4_1;300.00;12.10;627.00;0.00;2_3_0;5.10;0.00;tripinfo_627;804.00;627;0;694.90;0.94;0.00;750.39;DEFAULT_VEHTYPE;;5;710.00
1440.00;6_5_0;300.00;15.84;431.00;0.00;4_3_0;5.10;0.00;tripinfo_431;1009.00;431;0;1194.90;1.16;0.00;934.46;DEFAULT_VEHTYPE;;14;821.00
1443.00;2_1_1;300.00;13.47;1378.00;2.00;5_6_0;5.10;0.00;tripinfo_1376;65.00;1376;0;794.90;0.99;0.00;7.13;DEFAULT_VEHTYPE;;0;0.00
1447.00;6_5_1;300.00;12.92;167.00;0.00;2_3_0;5.10;0.00;tripinfo_167;1280.00;167;0;1294.90;1.01;0.00;1186.76;DEFAULT_VEHTYPE;;19;1047.00
